what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103686865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103690861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103691079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103699570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480103765896
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480103768022
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480103773305
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480103775524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103777918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103784704
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480103785768
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480103786385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103786665
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1480103789256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103791199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103794516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103797156
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480103799505
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480103799736
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480103804734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103846523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103878438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103897609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103898331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103899062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103908182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103909537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103946375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103951125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103969978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103984804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103996342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480103996846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104004316
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480104005626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104008370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104010480
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480104011650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104011967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104015213
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480104016462
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1480104022770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104047047
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480104054419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104054698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104057122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104059060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104065321
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1480104068098
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480104071563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104078544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104078917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104079198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104079669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104083897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104086263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104086603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104087100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104087136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104087170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104087529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104087828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104088112
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104088358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104088635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104088984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1480104094246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1480104095452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104097298
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480104098445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104098771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104105386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1480104107994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1480104111930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104112806
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480104116139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104116441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104120603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104125774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104134094
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480104135536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104135824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104139426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104145047
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480104145695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104145998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104149421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104155798
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480104156149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104156430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104164702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104169157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104171985
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480104172328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104172632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104176106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104184224
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480104186197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104186489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104189994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104193282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104193695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104194010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104194493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104194851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104195182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104195496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104196408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1480104199002
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104206875
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480104207682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104207984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104214808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104217138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104217613
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104224675
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480104227173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104227479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104231814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480104245845
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480104246484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104246809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480104250239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104250928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104251226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104251717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104251748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104251788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104251818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104251846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104251875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104251906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104251943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104251972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252016
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1480104252600
